response,ager,educ,file_race,gender,race_eth,approve,ASSAULTW,ENGLISH,genballot,hdem_fav,hrep_fav,LIFECHANGE,OPIOID,REVERSERACIS,STRANGER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,oppose,agree,Don't know,Don't know,Don't know,agree,no,agree,agree,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,White,50 to 85 percent,Cell,0.8889,0.6274,1.3788,0.819,1.3987
Rep,50 to 64,Graduate or Professional Degree,Black,Male,White,Disapp.,oppose,disagree,Don't know,Favorable,Favorable,disagree,yes,agree,agree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Madison,Black,85 percent or higher,Cell,0.8889,0.9617,0.9197,0.5168,0.9339
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Madison,White,85 percent or higher,Cell,1,0.8785,0.9286,0.4725,0.9659
Dem,50 to 64,High school,White,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,Don't know,no,agree,agree,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Madison,White,85 percent or higher,Cell,0.6667,0.9542,1.6685,1.1959,1.6664
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,yes,agree,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,50 to 85 percent,Cell,0.8889,0.551,1.022,0.6217,1.1153
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.9691,0.749,0.3477,0.7713
Rep,18 to 34,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,disagree,no,disagree,disagree,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,White,50 to 85 percent,Cell,1,0.7991,0.7961,0.7741,0.8392
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,support,agree,Dems. take House,Favorable,Favorable,agree,no,agree,agree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9122,0.9228,0.3649,0.9405
Rep,65 and older,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Madison,White,85 percent or higher,Cell,1,0.8558,0.9529,0.6162,0.9947
Rep,65 and older,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,no,agree,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Madison,White,85 percent or higher,Cell,1,0.9733,1.0367,0.4789,1.0673
Und,50 to 64,Some college or trade school,Unknown,Male,White,Approve,oppose,agree,Don't know,Don't know,Don't know,disagree,no,agree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,Unknown,85 percent or higher,Landline,1,0.9165,1.279,0.4766,1.3236
Dem,50 to 64,High school,White,Male,Black,Disapp.,support,agree,Dems. take House,Don't know,Don't know,agree,yes,disagree,disagree,45 to 64,High School Grad. or Less,Other,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,Rest,White,Less than 50 percent,Cell,0.5556,0.2468,1.4551,4.3075,0.99
Und,35 to 49,Some college or trade school,White,Female,White,Don't know,oppose,disagree,Don't know,Don't know,Don't know,Don't know,no,agree,disagree,30 to 44,Some College Educ.,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,White,Less than 50 percent,Cell,0.4444,0.0641,1.629,6.084,0.7559
Rep,35 to 49,Bachelors' degree,Unknown,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,Unknown,85 percent or higher,Cell,1,0.8989,0.6676,0.2528,0.6924
Und,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,oppose,agree,Dems. take House,Don't know,Don't know,Don't know,no,agree,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,White,50 to 85 percent,Landline,1,0.76,0.5108,0.1881,0.5426
Rep,35 to 49,High school,Asian,Male,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,Other Non-White,85 percent or higher,Cell,1,0.9724,1.039,0.6396,1.0697
Rep,65 and older,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,50 to 85 percent,Cell,0.8889,0.6099,0.7901,0.4629,0.8495
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,disagree,no,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9514,0.8704,0.5029,0.8974
Rep,65 and older,Some college or trade school,Unknown,Female,Hispanic,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Other,Female,Somewhat likely,Republican,Nonwhite,Nonwhite,Rest,Unknown,Less than 50 percent,Cell,1,0.2693,0.5942,0.9757,0.565
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,support,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,65 and older,Postgraduate Degree,Democratic,Male,Not very likely,Republican,"White, 4-Year College Grads",White,Rest,White,50 to 85 percent,Cell,1,0.8245,0.5108,0.1734,0.4624
Dem,65 and older,High school,Black,Male,Black,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,agree,yes,disagree,agree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,Black,85 percent or higher,Cell,1,0.9647,1.4997,0.9816,1.5447
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,oppose,disagree,Reps. keep House,Favorable,Favorable,agree,yes,agree,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,St. Clair,White,85 percent or higher,Cell,1,0.9817,0.9771,0.5388,1.0057
Rep,65 and older,Some college or trade school,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,agree,no,disagree,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Landline,1,0.9118,0.6916,0.3055,0.7162
Rep,35 to 49,High school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,yes,agree,agree,30 to 44,High School Grad. or Less,Other,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Madison,White,Less than 50 percent,Cell,0.6667,0.1079,2.0607,9.4763,2.6055
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9609,0.9228,0.3465,0.9507
Rep,65 and older,High school,White,Female,White,Don't know,support,agree,Reps. keep House,Don't know,Favorable,Don't know,no,Don't know,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,St. Clair,White,50 to 85 percent,Landline,1,0.8382,1.6125,1.1865,1.6468
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,agree,Dems. take House,Don't know,Unfavorable,disagree,yes,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.9512,0.4471,0.1482,0.461
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,St. Clair,Unknown,85 percent or higher,Landline,1,0.9625,0.5551,0.1712,0.5718
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Madison,White,85 percent or higher,Landline,1,0.9807,0.9155,0.4253,0.9424
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,disagree,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.972,0.5456,0.253,0.5617
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,45 to 64,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Madison,White,50 to 85 percent,Cell,0.8889,0.59,1.7758,1.8462,1.8084
Dem,35 to 49,Bachelors' degree,White,Female,Black,Disapp.,support,agree,Don't know,Favorable,Unfavorable,agree,no,disagree,agree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,St. Clair,White,85 percent or higher,Cell,1,0.9661,1.2673,0.5997,1.2947
Dem,65 and older,Some college or trade school,White,Male,White,Approve,oppose,agree,Don't know,Don't know,Don't know,disagree,yes,agree,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9826,0.674,0.2231,0.6937
Und,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Don't know,Don't know,Reps. keep House,Don't know,Don't know,agree,no,Don't know,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,St. Clair,White,85 percent or higher,Cell,1,0.9352,1.063,0.5,1.0977
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,St. Clair,White,85 percent or higher,Landline,1,0.9835,1.0481,0.4337,1.0788
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,65 and older,Postgraduate Degree,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,St. Clair,White,85 percent or higher,Landline,0.5556,0.9264,0.7136,0.3761,0.6606
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,disagree,no,agree,disagree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,St. Clair,Unknown,Less than 50 percent,Cell,0.7778,0.2514,1.3576,3.4372,1.1048
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.984,0.411,0.1621,0.423
Rep,50 to 64,High school,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9402,1.1423,0.9214,1.1648
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.9659,0.4588,0.1854,0.4726
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,disagree,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,White,50 to 85 percent,Cell,1,0.769,0.8557,0.4442,0.9073
Rep,65 and older,High school,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9696,0.8129,0.4632,0.8371
Dem,65 and older,High school,Hispanic,Female,White,Approve,oppose,disagree,Reps. keep House,Favorable,Unfavorable,agree,no,agree,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,St. Clair,Other Non-White,85 percent or higher,Landline,1,0.9566,1.18,0.833,1.2045
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,Don't know,no,disagree,agree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9708,0.8223,0.3939,0.8467
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,Don't know,yes,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,Unknown,85 percent or higher,Cell,1,0.9789,0.4492,0.1486,0.4624
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,Other Non-White,85 percent or higher,Cell,1,0.9733,0.4704,0.2021,0.4843
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9791,0.9228,0.34,0.9499
Rep,65 and older,Some college or trade school,White,Female,White,Don't know,support,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,White,Less than 50 percent,Landline,0.1111,0.0589,1.2594,5.0142,0.3017
Dem,18 to 34,Some college or trade school,Black,Male,Black,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,disagree,no,Don't know,disagree,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,St. Clair,Black,50 to 85 percent,Landline,0.6667,0.5221,1.6204,2.198,1.5281
Und,35 to 49,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,disagree,yes,disagree,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,St. Clair,White,85 percent or higher,Cell,1,0.9562,1.475,0.4784,1.5202
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9804,0.8704,0.488,0.8959
Rep,65 and older,Some college or trade school,White,Female,White,Don't know,support,disagree,Dems. take House,Don't know,Don't know,agree,no,agree,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,50 to 85 percent,Cell,1,0.7379,0.7262,0.4329,0.7751
Dem,65 and older,High school,White,Female,White,Approve,oppose,agree,Dems. take House,Favorable,Don't know,disagree,no,agree,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Landline,1,0.979,0.8342,0.5828,0.8587
Rep,18 to 34,Some college or trade school,Unknown,Female,White,Disapp.,support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,no,disagree,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Madison,Unknown,85 percent or higher,Landline,1,0.9558,0.9588,0.3165,0.9882
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Don't know,Don't know,no,agree,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.9653,0.5471,0.2299,0.5634
Und,65 and older,Some college or trade school,White,Male,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,White,85 percent or higher,Cell,1,0.98,1.1702,0.4887,1.1977
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Unfavorable,agree,no,agree,agree,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,White,Less than 50 percent,Cell,1,0.3054,0.9628,1.738,1.1075
Dem,65 and older,High school,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,agree,no,disagree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Landline,1,0.9713,0.8129,0.4624,0.837
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,agree,no,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,White,50 to 85 percent,Cell,0,0.6709,1.6577,1.228,0.7897
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Unfavorable,agree,no,agree,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,50 to 85 percent,Cell,0.7778,0.7881,0.9944,0.6155,1.0177
Und,65 and older,High school,White,Female,White,Disapp.,support,disagree,Don't know,Don't know,Don't know,agree,no,agree,agree,65 and older,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,St. Clair,White,50 to 85 percent,Cell,1,0.6677,1.5713,1.1724,1.4804
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,Don't know,no,disagree,agree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.9384,0.4471,0.1503,0.4559
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,no,agree,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Madison,Unknown,85 percent or higher,Cell,1,0.9773,1.1042,0.3424,1.1366
Rep,18 to 34,Bachelors' degree,Asian,Male,Asian,Approve,oppose,disagree,Dems. take House,Don't know,Favorable,disagree,no,agree,agree,18 to 29,4-year College Grad.,Republican,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,Rest,Other Non-White,50 to 85 percent,Landline,0.4444,0.7263,0.7241,0.6114,0.5617
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,disagree,yes,agree,disagree,45 to 64,4-year College Grad.,Republican,Male,Not very likely,Republican,"White, 4-Year College Grads",White,Rest,White,50 to 85 percent,Landline,0.4444,0.7497,0.9554,0.5117,0.6629
Rep,35 to 49,High school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,30 to 44,High School Grad. or Less,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.8653,1.0516,0.6297,1.0727
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Favorable,agree,no,agree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Landline,1,0.9569,0.411,0.1667,0.4235
Dem,35 to 49,High school,White,Male,White,Approve,support,agree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,agree,45 to 64,High School Grad. or Less,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",White,St. Clair,White,50 to 85 percent,Landline,1,0.8429,2.3408,1.2465,2.2017
Rep,65 and older,Some college or trade school,White,Female,White,Approve,oppose,agree,Reps. keep House,Favorable,Favorable,agree,no,agree,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9794,0.6357,0.3218,0.6506
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,disagree,no,disagree,disagree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.974,0.4588,0.1839,0.4692
