response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,High school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Don't know,Support,agree,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Dubuque,85 percent or higher,Cell,0.8889,0.9384,1.1062,0.7867,1.1417,2018-09-18 21:22:26
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump >60%",85 percent or higher,Cell,1,0.9364,0.9082,0.5346,0.9445,2018-09-18 21:27:16
Und,18 to 34,Some college or trade school,Unknown,Male,White,Don't know,Approve,Reps. keep House,Unfavorable,Unfavorable,Support,Support,Don't know,agree,30 to 44,Some College Educ.,Republican,Male,Not very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,Unknown/Non-White,Black Hawk,50 to 85 percent,Cell,0.1111,0.565,0.9022,1.2172,0.4254,2018-09-18 21:28:17
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Disapp.,Dems. take House,Don't know,Favorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,"Rest, Trump <60%",50 to 85 percent,Landline,1,0.7399,1.0574,0.8657,1.1506,2018-09-18 21:32:42
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9896,0.597,0.5091,0.6269,2018-09-18 21:36:36
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,"Rest, Trump <60%",85 percent or higher,Landline,0.7778,0.8947,0.8582,0.5731,0.871,2018-09-18 21:48:24
Dem,50 to 64,Some college or trade school,White,Female,White,support,Don't know,Dems. take House,Don't know,Don't know,Oppose,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9432,0.5628,0.4666,0.5922,2018-09-18 21:49:02
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,agree,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump <60%",50 to 85 percent,Landline,1,0.7454,1.3661,1.5566,1.4334,2018-09-18 21:51:06
Dem,50 to 64,Bachelors' degree,Hispanic,Female,White,Don't know,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown/Non-White,Linn,50 to 85 percent,Landline,1,0.6935,1.3477,1.1392,1.482,2018-09-18 21:53:30
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.927,0.4826,0.3386,0.5017,2018-09-18 21:58:45
Dem,65 and older,Grade school,White,Female,White,Don't know,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Dubuque,50 to 85 percent,Landline,1,0.8062,1.1084,0.9986,1.1569,2018-09-18 22:03:08
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Black Hawk,85 percent or higher,Landline,1,0.9312,0.8496,0.7059,0.8953,2018-09-18 22:06:08
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Cell,1,0.9946,0.8246,0.4654,0.8663,2018-09-18 22:14:32
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Support,agree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Dubuque,50 to 85 percent,Cell,0.7778,0.8239,0.8977,0.7089,0.9039,2018-09-18 22:14:59
Und,50 to 64,Bachelors' degree,White,Female,White,support,Don't know,Don't know,Don't know,Don't know,Don't know,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Linn,85 percent or higher,Landline,0.8889,0.967,1.0994,0.6586,1.1504,2018-09-18 22:20:25
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9498,1.2947,1.0004,1.3472,2018-09-18 22:22:22
Rep,65 and older,Bachelors' degree,White,Male,Other,support,Don't know,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.8958,1.1929,0.6661,1.2402,2018-09-18 22:23:07
Dem,65 and older,High school,White,Female,[DO NOT READ] Don't know/Refused,support,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Linn,85 percent or higher,Landline,1,0.9824,1.2682,1.0426,1.3315,2018-09-18 22:24:19
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,Support,Support,agree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9948,0.6763,0.4239,0.7089,2018-09-18 22:29:34
Rep,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Reps. keep House,Don't know,Don't know,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Linn,85 percent or higher,Cell,1,0.8857,1.3132,0.9743,1.3655,2018-09-18 22:35:01
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.8953,1.295,0.9128,1.3708,2018-09-18 22:35:01
Dem,50 to 64,Some college or trade school,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Unknown/Non-White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.986,0.6342,0.3712,0.6658,2018-09-18 22:36:04
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9186,0.9082,0.5449,0.9584,2018-09-18 22:38:55
Rep,65 and older,Some college or trade school,White,Female,White,support,Disapp.,Don't know,Don't know,Favorable,Support,Don't know,Support,disagree,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Linn,85 percent or higher,Landline,1,0.9947,0.942,0.7036,0.98740000000000006,2018-09-18 22:39:40
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Oppose,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9866,0.8299,0.5942,0.8713,2018-09-18 22:42:13
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,disagree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Unknown/Non-White,Black Hawk,50 to 85 percent,Cell,1,0.525,0.7786,1.1822,0.8997,2018-09-18 22:47:16
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Don't know,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown/Non-White,Linn,85 percent or higher,Landline,1,0.9977,1.2673,0.7024,1.3323,2018-09-18 22:48:28
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,support,Approve,Reps. keep House,Don't know,Favorable,Support,Oppose,Support,agree,45 to 64,Some College Educ.,Republican,Male,Not at all likely,Republican,Nonwhite,Nonwhite,35 to 49,Unknown/Non-White,Dubuque,85 percent or higher,Cell,1,0.9696,1.2336,0.8237,1.2117,2018-09-18 22:48:28
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Black Hawk,85 percent or higher,Cell,1,0.9556,0.5258,0.3584,0.5528,2018-09-18 22:48:46
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,65 and older,Some College Educ.,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump <60%",50 to 85 percent,Cell,0.1111,0.7906,1.0166,0.8846,0.6252,2018-09-18 22:48:55
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Oppose,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Rest, Trump <60%",85 percent or higher,Cell,0.7778,0.9156,0.8323,0.6783,0.8476,2018-09-18 22:49:04
Rep,18 to 34,Some college or trade school,Unknown,Female,White,support,Disapp.,Reps. keep House,Unfavorable,Unfavorable,Oppose,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Female,Not at all likely,Republican,"White, No 4-Year College Degree",White,18 to 34,Unknown/Non-White,Linn,85 percent or higher,Cell,0,0.9538,0.7924,0.7144,0.5943,2018-09-18 22:50:16
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown/Non-White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.9598,0.7028,0.4228,0.7385,2018-09-18 22:50:25
Rep,18 to 34,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Don't know,Support,Don't know,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,Linn,85 percent or higher,Cell,1,0.9062,1.0462,0.9027,1.0876,2018-09-18 22:51:19
Dem,65 and older,High school,White,Female,White,support,Disapp.,Dems. take House,Favorable,Don't know,Don't know,Don't know,Support,disagree,65 and older,High School Grad. or Less,Other,Female,Not very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,0.7778,0.863,1.1214,0.7991,0.9964,2018-09-18 22:51:37
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Linn,50 to 85 percent,Landline,1,0.8361,0.8897,0.7974,0.9269,2018-09-18 22:52:13
Rep,18 to 34,High school,White,Male,White,oppose,Approve,Reps. keep House,Unfavorable,Unfavorable,Support,Oppose,Oppose,agree,18 to 29,High School Grad. or Less,Republican,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Linn,50 to 85 percent,Cell,1,0.8411,1.9334,2.1535,1.9043,2018-09-18 22:54:19
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Black Hawk,85 percent or higher,Cell,1,0.9428,0.5446,0.4304,0.5732,2018-09-18 22:55:13
Rep,35 to 49,Some college or trade school,White,Female,Other,support,Approve,Reps. keep House,Don't know,Unfavorable,Support,Support,Support,agree,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,Nonwhite,35 to 49,White,"Rest, Trump <60%",Less than 50 percent,Cell,1,0.3858,1.1537,2.8829,1.3064,2018-09-18 22:55:40
Dem,65 and older,High school,White,Female,White,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9201,0.9659,0.767,1.0192,2018-09-18 22:55:49
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Black Hawk,85 percent or higher,Cell,1,0.9234,0.6356,0.4,0.6704,2018-09-18 22:56:16
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Don't know,Oppose,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Dubuque,Less than 50 percent,Cell,0.7778,0.4459,1.2571,2.0562,1.2746,2018-09-18 22:57:28
Dem,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Favorable,Unfavorable,Support,Support,Support,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Linn,85 percent or higher,Cell,1,0.9718,1.1901,0.847,1.2498,2018-09-18 22:58:40
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Don't know,Support,agree,30 to 44,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Black Hawk,50 to 85 percent,Cell,1,0.8237,1.2929,0.8431,1.3479,2018-09-18 22:59:07
Und,50 to 64,Bachelors' degree,White,Male,White,Don't know,Approve,Reps. keep House,Don't know,Favorable,Don't know,Support,Support,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Linn,85 percent or higher,Landline,0.8889,0.9424,1.4764,0.8027,1.545,2018-09-18 22:59:34
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Don't know,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Linn,85 percent or higher,Cell,1,0.9976,0.9344,0.6075,0.981,2018-09-18 23:00:30
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Rest, Trump <60%",50 to 85 percent,Cell,1,0.8205,0.7625,0.5896,0.8167,2018-09-18 23:00:39
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Black Hawk,85 percent or higher,Cell,1,0.926,1.1387,0.9555,1.2006,2018-09-18 23:01:06
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Black Hawk,50 to 85 percent,Cell,0.8889,0.783,0.5322,0.4274,0.5654,2018-09-18 23:01:24
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Black Hawk,85 percent or higher,Cell,1,0.8831,1.1387,1.0019,1.2074,2018-09-18 23:03:03
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Linn,85 percent or higher,Cell,1,0.9493,0.7614,0.459,0.8009,2018-09-18 23:03:21
Und,18 to 34,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,Don't know,Don't know,Support,Don't know,Don't know,Don't know,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Black Hawk,Less than 50 percent,Landline,0.5556,0.3935,1.1259,2.5622,0.8143,2018-09-18 23:04:51
Dem,50 to 64,High school,Other,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Unknown/Non-White,Linn,85 percent or higher,Cell,1,0.9284,1.2989,0.9261,1.3692,2018-09-18 23:04:51
Und,50 to 64,High school,White,Female,White,oppose,Don't know,Don't know,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,45 to 64,High School Grad. or Less,Other,Female,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Landline,0.7778,0.8876,1.0191,0.7852,1.0333,2018-09-18 23:06:39
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.9166,0.8756,0.6316,0.9102,2018-09-18 23:08:27
Rep,18 to 34,Bachelors' degree,Unknown,Female,White,oppose,Approve,Reps. keep House,Don't know,Unfavorable,Support,Support,Support,agree,18 to 29,4-year College Grad.,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,18 to 34,Unknown/Non-White,"Rest, Trump <60%",50 to 85 percent,Cell,0.5556,0.7749,0.9136,0.8536,0.7783,2018-09-18 23:08:54
Rep,18 to 34,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Support,agree,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Dubuque,50 to 85 percent,Cell,1,0.7698,0.9144,0.8353,0.9888,2018-09-18 23:09:30
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Black Hawk,50 to 85 percent,Cell,1,0.7967,0.9628,0.7338,1.0357,2018-09-18 23:11:00
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,65 and older,White,Linn,85 percent or higher,Cell,1,0.9915,1.0827,0.6771,1.137,2018-09-18 23:11:00
Dem,50 to 64,High school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Support,Oppose,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,or as a member of another political party,"White, No 4-Year College Degree",White,50 to 64,White,Black Hawk,50 to 85 percent,Cell,0.5556,0.7192,0.8764,0.8423,0.725,2018-09-18 23:11:18
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Linn,85 percent or higher,Cell,1,0.9467,0.7614,0.4603,0.801,2018-09-18 23:11:54
Rep,65 and older,Some college or trade school,Unknown,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,Linn,85 percent or higher,Cell,1,0.9946,1.3745,0.8034,1.4407,2018-09-18 23:12:48
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Don't know,Support,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.8904,0.7175,0.5417,0.7599,2018-09-18 23:14:27
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Rest, Trump >60%",85 percent or higher,Cell,1,0.8728,0.7773,0.4631,0.8254,2018-09-18 23:17:53
